"","tract_name","pop_total","pop_total_25plus","median_household_income","pop_white","pop_black","pop_amerindian","pop_asian","pop_nativehawaii","pop_otherrace","pop_tworaces","pop_hispanic","mhinc_2544ages","mhinc_4465ages","fips_state_code","fips_county_code","tract","mhinc","pct_popam","pct_popas","pct_pophi","pct_popbl","pct_popwh","pct_pophp","pct_poptr","pct_popothr","pocrace","race_brks_nonwhiteasian","inc_brks"
"10893","Census Tract 2105, Essex County, Massachusetts",6368,4524,82615,5669,33,0,114,0,0,82,470,92153,97857,25,9,"210500",190010,0,1.8,7.4,0.5,89,0,1.3,0,7.9,"0-19%","$150-199k"
"10894","Census Tract 2131, Essex County, Massachusetts",8228,5759,155034,7437,0,0,396,0,0,246,149,174196,210344,25,9,"213100",384540,0,4.8,1.8,0,90.4,0,3,0,1.8,"0-19%","$200k+"
"10895","Census Tract 2171, Essex County, Massachusetts",7204,5425,88958,6513,92,20,219,0,40,85,235,140981,123153,25,9,"217100",264134,0.3,3,3.3,1.3,90.4,0,1.2,0.6,4.9,"0-19%","$200k+"
"10896","Census Tract 2232, Essex County, Massachusetts",3538,2606,56857,3389,8,0,33,0,0,24,84,78194,72450,25,9,"223200",150644,0,0.9,2.4,0.2,95.8,0,0.7,0,2.6,"0-19%","$150-199k"
"10897","Census Tract 2504, Essex County, Massachusetts",4357,2576,25781,117,0,0,0,0,0,0,4240,33553,34844,25,9,"250400",68397,0,0,97.3,0,2.7,0,0,0,97.3,"90-100%","$50-74k"
"10898","Census Tract 2509, Essex County, Massachusetts",2040,1229,22404,43,15,0,0,0,0,0,1982,30375,35625,25,9,"250900",66000,0,0,97.2,0.7,2.1,0,0,0,97.9,"90-100%","$50-74k"
"10899","Census Tract 2512, Essex County, Massachusetts",1404,806,18462,64,0,25,0,0,0,1,1314,NA,16029,25,9,"251200",NA,1.8,0,93.6,0,4.6,0,0.1,0,95.4,"90-100%",NA
"10900","Census Tract 2525.02, Essex County, Massachusetts",4728,3394,66579,3474,71,0,241,0,0,36,906,81875,76949,25,9,"252502",158824,0,5.1,19.2,1.5,73.5,0,0.8,0,20.7,"20-39%","$150-199k"
"10901","Census Tract 2543.02, Essex County, Massachusetts",4725,3237,165972,3810,46,0,687,0,0,68,114,129688,174141,25,9,"254302",303829,0,14.5,2.4,1,80.6,0,1.4,0,3.4,"0-19%","$200k+"
"10902","Census Tract 2544.02, Essex County, Massachusetts",7263,4658,168438,5245,232,0,1406,0,4,84,292,176435,180221,25,9,"254402",356656,0,19.4,4,3.2,72.2,0,1.2,0.1,7.2,"0-19%","$200k+"
"10903","Census Tract 2603.01, Essex County, Massachusetts",4360,3199,82407,4030,22,0,136,0,0,26,146,100968,97917,25,9,"260301",198885,0,3.1,3.3,0.5,92.4,0,0.6,0,3.8,"0-19%","$150-199k"
"10904","Census Tract 2611.01, Essex County, Massachusetts",4594,3052,101818,4102,142,0,89,0,8,81,172,113512,106364,25,9,"261101",219876,0,1.9,3.7,3.1,89.3,0,1.8,0.2,6.8,"0-19%","$200k+"
"10905","Census Tract 2606, Essex County, Massachusetts",3550,2376,50089,2068,99,0,45,0,16,48,1274,56250,46923,25,9,"260600",103173,0,1.3,35.9,2.8,58.3,0,1.4,0.5,38.7,"20-39%","$100-149k"
"10906","Census Tract 2608, Essex County, Massachusetts",5183,3098,37117,1957,93,0,11,0,18,213,2891,43125,41490,25,9,"260800",84615,0,0.2,55.8,1.8,37.8,0,4.1,0.3,57.6,"40-59%","$75-99k"
"10907","Census Tract 2609, Essex County, Massachusetts",5368,3683,54574,3680,0,25,126,0,6,34,1497,47102,85446,25,9,"260900",132548,0.5,2.3,27.9,0,68.6,0,0.6,0.1,28.4,"20-39%","$100-149k"
"10908","Census Tract 2663, Essex County, Massachusetts",3749,2875,69283,3490,5,0,0,0,7,107,140,83906,75625,25,9,"266300",159531,0,0,3.7,0.1,93.1,0,2.9,0.2,3.8,"0-19%","$150-199k"
"10909","Census Tract 2664, Essex County, Massachusetts",3749,2495,73915,3489,25,0,61,0,0,110,64,79375,75625,25,9,"266400",155000,0,1.6,1.7,0.7,93.1,0,2.9,0,2.4,"0-19%","$150-199k"
"10910","Census Tract 2681, Essex County, Massachusetts",2797,1814,136765,2589,6,0,84,0,0,35,83,165577,168864,25,9,"268100",334441,0,3,3,0.2,92.6,0,1.3,0,3.2,"0-19%","$200k+"
"10911","Census Tract 2047.02, Essex County, Massachusetts",5772,3943,66113,4072,380,0,245,0,93,150,832,76750,65435,25,9,"204702",142185,0,4.2,14.4,6.6,70.5,0,2.6,1.6,21,"20-39%","$100-149k"
"10912","Census Tract 2011, Essex County, Massachusetts",3488,2898,81384,3369,36,0,21,0,0,13,49,100000,116705,25,9,"201100",216705,0,0.6,1.4,1,96.6,0,0.4,0,2.4,"0-19%","$200k+"
"10913","Census Tract 2060, Essex County, Massachusetts",3244,1870,40506,524,457,0,292,0,22,88,1861,36489,74107,25,9,"206000",110596,0,9,57.4,14.1,16.2,0,2.7,0.7,71.5,"60-79%","$100-149k"
"10914","Census Tract 2063, Essex County, Massachusetts",4437,2683,58894,1239,840,13,309,0,24,137,1875,55972,69350,25,9,"206300",125322,0.3,7,42.3,18.9,27.9,0,3.1,0.5,61.5,"60-79%","$100-149k"
"10915","Census Tract 2065, Essex County, Massachusetts",3301,1902,43214,688,727,0,171,0,0,46,1669,39722,76944,25,9,"206500",116666,0,5.2,50.6,22,20.8,0,1.4,0,72.6,"60-79%","$100-149k"
"10916","Census Tract 2112, Essex County, Massachusetts",6126,4544,61528,5720,2,15,19,0,0,150,220,81442,77417,25,9,"211200",158859,0.2,0.3,3.6,0,93.4,0,2.4,0,3.8,"0-19%","$150-199k"
"10917","Census Tract 2082, Essex County, Massachusetts",5397,3917,75960,4734,213,127,131,0,0,16,176,82997,105956,25,9,"208200",188953,2.4,2.4,3.3,3.9,87.7,0,0.3,0,9.6,"0-19%","$150-199k"
"10918","Census Tract 2091, Essex County, Massachusetts",6739,4736,104856,5919,65,0,472,0,0,54,229,110000,119313,25,9,"209100",229313,0,7,3.4,1,87.8,0,0.8,0,4.4,"0-19%","$200k+"
"10919","Census Tract 2108, Essex County, Massachusetts",5084,3684,41009,3733,118,0,163,0,0,248,822,56460,37415,25,9,"210800",93875,0,3.2,16.2,2.3,73.4,0,4.9,0,18.5,"0-19%","$75-99k"
"10920","Census Tract 2121, Essex County, Massachusetts",9656,6754,107727,8317,146,0,102,3,8,164,916,162961,130017,25,9,"212100",292978,0,1.1,9.5,1.5,86.1,0,1.7,0.1,11,"0-19%","$200k+"
